"","Length","Spectrum","Type"
"1",50,1.5418182886937,"Inr-DPE"
"2",25,0.882801533944802,"Inr-DPE"
"3",16.6666666666667,0.318160337185831,"Inr-DPE"
"4",12.5,0.359620702088055,"Inr-DPE"
"5",10,2.17567325019611,"Inr-DPE"
"6",8.33333333333333,0.45854981446029,"Inr-DPE"
"7",7.14285714285714,0.820055051883575,"Inr-DPE"
"8",6.25,0.400131724635137,"Inr-DPE"
"9",5.55555555555556,0.0781226811163743,"Inr-DPE"
"10",5,0.0246448123918853,"Inr-DPE"
"11",4.54545454545455,0.0587834128630016,"Inr-DPE"
"12",4.16666666666667,0.0349918591606288,"Inr-DPE"
"13",3.84615384615385,0.0741020023494089,"Inr-DPE"
"14",3.57142857142857,0.0199687269013664,"Inr-DPE"
"15",3.33333333333333,0.0722841434977038,"Inr-DPE"
"16",3.125,0.107971229857763,"Inr-DPE"
"17",2.94117647058824,0.00124580047146683,"Inr-DPE"
"18",2.77777777777778,0.0470008126144813,"Inr-DPE"
"19",2.63157894736842,0.0366233242923103,"Inr-DPE"
"20",2.5,0.0335875559786671,"Inr-DPE"
"21",2.38095238095238,0.0324081396196711,"Inr-DPE"
"22",2.27272727272727,0.0232242106396226,"Inr-DPE"
"23",2.17391304347826,0.0511508731045434,"Inr-DPE"
"24",2.08333333333333,0.0777505697481458,"Inr-DPE"
"25",2,0.0329530923109191,"Inr-DPE"
"26",50,0.890909445534631,"TATA-box"
"27",25,0.692442832311089,"TATA-box"
"28",16.6666666666667,0.345191592564957,"TATA-box"
"29",12.5,2.59513104907874,"TATA-box"
"30",10,1.3947862259744,"TATA-box"
"31",8.33333333333333,0.50104533985768,"TATA-box"
"32",7.14285714285714,0.85774853662779,"TATA-box"
"33",6.25,1.94181894679855,"TATA-box"
"34",5.55555555555556,0.234508998808386,"TATA-box"
"35",5,0.55026203289415,"TATA-box"
"36",4.54545454545455,0.0366825115294298,"TATA-box"
"37",4.16666666666667,0.456366015383574,"TATA-box"
"38",3.84615384615385,0.0989773858686885,"TATA-box"
"39",3.57142857142857,0.108823251120373,"TATA-box"
"40",3.33333333333333,0.0260545355080418,"TATA-box"
"41",3.125,0.0102997613740021,"TATA-box"
"42",2.94117647058824,0.0624469538911317,"TATA-box"
"43",2.77777777777778,0.0244407963050672,"TATA-box"
"44",2.63157894736842,0.0523807026832488,"TATA-box"
"45",2.5,0.00821191198532739,"TATA-box"
"46",2.38095238095238,0.00933524119486082,"TATA-box"
"47",2.27272727272727,0.0562232039146997,"TATA-box"
"48",2.17391304347826,0.0561398634490976,"TATA-box"
"49",2.08333333333333,0.0733448752829675,"TATA-box"
"50",2,0.0688887901771723,"TATA-box"
"51",50,0.477093263926022,"Inr"
"52",25,0.579068135251993,"Inr"
"53",16.6666666666667,0.723086584305124,"Inr"
"54",12.5,6.74158283765573,"Inr"
"55",10,25.2215410304056,"Inr"
"56",8.33333333333333,0.619653699371685,"Inr"
"57",7.14285714285714,0.536106594351746,"Inr"
"58",6.25,0.309818555228134,"Inr"
"59",5.55555555555556,0.115876860247256,"Inr"
"60",5,0.113470937057772,"Inr"
"61",4.54545454545455,0.00354975434163544,"Inr"
"62",4.16666666666667,0.0951087861266921,"Inr"
"63",3.84615384615385,0.196450184290204,"Inr"
"64",3.57142857142857,0.00336726924217077,"Inr"
"65",3.33333333333333,0.0709569098758193,"Inr"
"66",3.125,0.0266900337368702,"Inr"
"67",2.94117647058824,0.00790975476246798,"Inr"
"68",2.77777777777778,0.00888468517762046,"Inr"
"69",2.63157894736842,0.0025434052219871,"Inr"
"70",2.5,0.10052230906383,"Inr"
"71",2.38095238095238,0.0291141130085383,"Inr"
"72",2.27272727272727,0.0198218983208408,"Inr"
"73",2.17391304347826,0.0217132449224961,"Inr"
"74",2.08333333333333,0.0125365321796234,"Inr"
"75",2,0.00282637083657714,"Inr"
